Time Stamp, Date, Time, Counter Value, Increment
2019-09-27 07:13:32.4850, 2019-09-27, 07:13:32, 1, 1
2019-09-27 07:13:38.1180, 2019-09-27, 07:13:38, 2, 1
2019-09-27 07:13:39.9750, 2019-09-27, 07:13:39, 3, 1
2019-09-27 07:13:42.7910, 2019-09-27, 07:13:42, 4, 1
2019-09-27 07:13:44.3350, 2019-09-27, 07:13:44, 5, 1
2019-09-27 07:13:47.1860, 2019-09-27, 07:13:47, 6, 1
2019-09-27 07:13:49.5350, 2019-09-27, 07:13:49, 7, 1
2019-09-27 07:14:07.0710, 2019-09-27, 07:14:07, 8, 1
2019-09-27 07:14:15.1640, 2019-09-27, 07:14:15, 9, 1
2019-09-27 07:14:18.3460, 2019-09-27, 07:14:18, 10, 1
2019-09-27 07:14:21.5880, 2019-09-27, 07:14:21, 11, 1
2019-09-27 07:14:23.1380, 2019-09-27, 07:14:23, 12, 1
2019-09-27 07:14:24.5970, 2019-09-27, 07:14:24, 13, 1
2019-09-27 07:14:27.9060, 2019-09-27, 07:14:27, 14, 1
2019-09-27 07:14:29.4990, 2019-09-27, 07:14:29, 15, 1
2019-09-27 07:14:31.8440, 2019-09-27, 07:14:31, 16, 1
2019-09-27 07:14:33.0490, 2019-09-27, 07:14:33, 17, 1
2019-09-27 07:14:35.0590, 2019-09-27, 07:14:35, 18, 1
2019-09-27 07:14:36.3560, 2019-09-27, 07:14:36, 19, 1
2019-09-27 07:14:38.0710, 2019-09-27, 07:14:38, 20, 1
2019-09-27 07:14:40.3750, 2019-09-27, 07:14:40, 21, 1
2019-09-27 07:14:43.9410, 2019-09-27, 07:14:43, 22, 1
2019-09-27 07:14:46.3140, 2019-09-27, 07:14:46, 23, 1
2019-09-27 07:14:48.7270, 2019-09-27, 07:14:48, 24, 1
2019-09-27 07:15:03.5260, 2019-09-27, 07:15:03, 25, 1
2019-09-27 07:15:11.4630, 2019-09-27, 07:15:11, 26, 1
2019-09-27 07:15:22.3490, 2019-09-27, 07:15:22, 27, 1
2019-09-27 07:15:27.7240, 2019-09-27, 07:15:27, 28, 1
2019-09-27 07:15:29.2150, 2019-09-27, 07:15:29, 29, 1
2019-09-27 07:15:31.3720, 2019-09-27, 07:15:31, 30, 1
